local authority: county / unitary (prior to April 2015),Youth,Adult,Senior,White,Asian,Black,Other,Males,Females
West Sussex,135398,450574,220920,756499,28334,7146,14913,390567,416325
Bath and North East Somerset,27506,105891,42619,166473,4577,1326,3640,86072,89944
Bournemouth,26535,114455,42501,168797,7066,1764,5864,91386,92105
"Bristol, City of",74173,278111,75950,359592,23655,25734,19253,213071,215163
Cornwall,83411,291010,157852,522848,3434,762,5229,257805,274468
Isles of Scilly,324,1201,678,2177,2,2,22,1102,1101
North Somerset,34256,111023,57287,197076,2436,632,2422,98463,104103
Plymouth,41928,157601,56855,246509,3906,1678,4291,126684,129700
Poole,23957,83702,39986,141523,3276,520,2326,72121,75524
South Gloucestershire,46391,156219,60157,249574,6440,2218,4535,130424,132343
Swindon,38789,130523,39844,187898,13365,2861,5032,104618,104538
Torbay,20059,69877,41023,127699,1353,251,1656,63110,67849
Wiltshire,84848,269399,116734,454971,6178,3228,6604,231754,239227
Devon,114329,406015,226055,728073,8710,1413,8203,361745,384654
Dorset,62199,213357,137349,404317,3833,924,3831,201271,211634
Gloucestershire,99457,346433,151094,569647,12433,5150,9754,292586,304398
Somerset,87513,291492,150967,519255,4873,1013,4831,258396,271576
Isle of Anglesey,11088,37556,21107,68520,491,81,659,34274,35477
Gwynedd,19607,68594,33673,117573,2170,289,1842,59906,61968
Conwy,17763,60459,37006,112549,1252,199,1228,55749,59479
Denbighshire,15757,51128,26849,91254,1430,161,889,45987,47747
Flintshire,26719,87922,37865,150161,1201,142,1002,75247,77259
Wrexham,24182,78953,31709,130647,2321,625,1251,67052,67792
Powys,21169,70697,41110,130827,1142,132,875,65683,67293
Ceredigion,10460,44183,21279,73443,1099,266,1114,37793,38129
Pembrokeshire,20525,65696,36218,120121,1192,179,947,59823,62616
Carmarthenshire,30649,101604,51524,180323,1837,279,1338,89837,93940
Swansea,38763,142472,57788,224697,7803,1983,4540,118087,120936
Neath Port Talbot,22935,81343,35534,137087,1369,299,1057,68450,71362
Bridgend,23675,81514,33989,136090,1549,315,1224,68789,70389
Vale of Glamorgan,22153,72641,31542,121838,1967,489,2042,61522,64814
Cardiff,58996,225044,62050,293114,27885,8201,16890,169893,176197
Rhondda Cynon Taff,41474,137410,55526,228241,3030,1308,1831,114635,119775
Merthyr Tydfil,10225,35001,13576,57391,696,143,572,28791,30011
Caerphilly,32734,104692,41380,175845,1346,242,1373,87701,91105
Blaenau Gwent,11626,41092,17096,68750,485,95,484,34325,35489
Torfaen,16034,52631,22410,89231,977,169,698,44382,46693
Monmouthshire,15092,50291,25940,89526,900,144,753,44922,46401
Newport,27502,85976,32258,131025,7986,2535,4190,71380,74356
